event_id,session_id,user_id,event_time_Date,event_time,event_type,screen_name,feature_id
16,13837,2671,29-Dec-25,14:20:33,app_open,NULL,
27,18769,5422,28-Feb-25,02:41:02,app_open,NULL,
35,31642,6152,28-Nov-25,04:35:37,app_open,NULL,
51,19925,4416,22-Dec-25,12:33:33,app_open,NULL,
86,34840,6402,30-Jun-25,05:49:12,app_open,NULL,
91,804,4644,16-Jul-25,15:36:08,app_open,NULL,
95,27358,6864,27-Apr-25,08:26:10,app_open,NULL,
125,10110,992,28-Mar-25,23:47:04,app_open,NULL,
131,16281,6207,10-Oct-25,12:29:50,app_open,NULL,
160,18982,3829,19-Aug-25,18:15:57,app_open,NULL,
170,2439,2798,13-Jul-25,21:41:13,app_open,NULL,
175,34604,1298,19-Aug-25,07:10:56,app_open,NULL,
189,22743,2587,03-Feb-25,16:06:27,app_open,NULL,
211,10419,1385,19-May-25,08:11:49,app_open,NULL,
228,13943,6201,21-Apr-25,23:45:17,app_open,NULL,
234,5134,5290,29-Dec-25,20:41:33,app_open,NULL,
246,16267,7914,02-Feb-25,16:03:40,app_open,NULL,
260,12777,7347,29-Sep-25,02:11:24,app_open,NULL,
261,8870,1611,07-Nov-25,16:58:21,app_open,NULL,
276,24944,2624,24-Dec-25,19:05:54,app_open,NULL,
283,24858,2329,03-Jan-26,08:08:50,app_open,NULL,
306,22635,1219,11-Jul-25,19:02:40,app_open,NULL,
311,2455,4851,28-Feb-25,21:16:24,app_open,NULL,
313,5128,7047,22-Sep-25,08:19:00,app_open,NULL,
339,25133,6444,04-Jan-25,21:09:17,app_open,NULL,
342,30767,2057,14-Jan-26,01:53:51,app_open,NULL,
344,32096,6885,27-Apr-25,12:30:31,app_open,NULL,
375,13561,2332,06-Jan-25,15:09:09,app_open,NULL,
393,10302,5532,14-Aug-25,13:17:14,app_open,NULL,
429,26297,6541,15-Feb-25,04:50:35,app_open,NULL,
438,2792,802,16-Aug-25,10:51:01,app_open,NULL,
461,27469,6013,09-Jan-25,17:23:41,app_open,NULL,
463,30597,1290,20-Jun-25,02:50:28,app_open,NULL,
469,17950,2580,29-Apr-25,18:24:23,app_open,NULL,
506,5079,4956,14-Jun-25,19:40:31,app_open,NULL,
508,12597,7464,05-Aug-25,05:56:14,app_open,NULL,
514,18149,2256,26-Dec-25,04:30:04,app_open,NULL,
522,9779,4208,18-Dec-25,12:29:09,app_open,NULL,
525,30739,6393,12-Nov-25,03:19:56,app_open,NULL,
550,31890,1754,10-Jan-26,08:22:13,app_open,NULL,
565,23106,1928,14-Jun-25,16:39:18,app_open,NULL,
567,31861,2036,31-Mar-25,17:02:50,app_open,NULL,
574,32670,3539,20-May-25,13:17:02,app_open,NULL,
579,4754,1324,11-Jul-25,00:45:30,app_open,NULL,
582,3735,2981,26-May-25,20:09:30,app_open,NULL,
591,33022,214,06-Oct-25,23:07:22,app_open,NULL,
604,5650,1524,18-Dec-25,16:22:52,app_open,NULL,
615,32908,3147,29-Aug-25,00:48:05,app_open,NULL,
616,14116,6219,13-May-25,16:02:36,app_open,NULL,
638,9935,6306,31-Dec-25,06:00:49,app_open,NULL,
641,18710,4212,15-Oct-25,16:47:15,app_open,NULL,
656,7633,7579,29-Mar-25,06:53:48,app_open,NULL,
673,1852,7202,22-Oct-25,07:53:21,app_open,NULL,
713,28666,3488,23-Jan-25,20:41:34,app_open,NULL,
716,22901,3176,23-Oct-25,01:13:18,app_open,NULL,
725,4800,1915,18-Nov-25,00:18:19,app_open,NULL,
