assignment_id,experiment_id,user_id,variant,assigned_date
9,11,3273,A,02-Oct-25
14,11,5412,A,07-Jul-25
19,11,262,A,18-Dec-25
25,11,7633,A,04-Apr-25
40,11,5811,A,09-Mar-25
55,11,5580,A,10-May-25
82,11,1693,A,08-Mar-25
84,11,6479,A,23-Nov-25
105,11,987,A,09-Oct-25
120,11,2723,A,18-Oct-25
190,11,440,A,07-Jun-25
197,11,2201,A,26-Nov-25
207,11,7596,A,08-Jan-25
221,11,4938,A,24-Nov-25
231,11,5065,A,25-Jun-25
305,11,3676,A,01-Jan-26
311,11,5791,A,23-Jul-25
338,11,575,A,16-Feb-25
364,11,281,A,14-Oct-25
369,11,1376,A,27-Apr-25
378,11,6972,A,19-Feb-25
499,11,484,A,21-Jan-25
543,11,6787,A,01-Aug-25
618,11,4231,A,14-Sep-25
653,11,2327,A,12-Jan-25
661,11,5336,A,23-Aug-25
735,11,1312,A,25-Sep-25
737,11,791,A,29-Aug-25
790,11,4623,A,21-Jun-25
804,11,5188,A,07-Aug-25
836,11,4069,A,25-Jan-25
841,11,5700,A,15-Dec-25
852,11,752,A,10-Nov-25
859,11,5742,A,07-Oct-25
870,11,3751,A,11-Jan-26
891,11,7737,A,05-Jan-25
895,11,4668,A,30-Nov-25
909,11,4955,A,14-Sep-25
936,11,1307,A,29-Sep-25
944,11,7803,A,02-Mar-25
957,11,3987,A,03-Mar-25
980,11,3570,A,09-Aug-25
985,11,4528,A,05-Aug-25
1049,11,1182,A,15-Sep-25
1055,11,3789,A,02-Jan-25
1056,11,7317,A,10-Mar-25
1057,11,2977,A,30-Aug-25
1078,11,4337,A,02-Sep-25
1099,11,4733,A,16-Sep-25
1106,11,422,A,30-Sep-25
1159,11,2906,A,13-Apr-25
1194,11,1567,A,10-Nov-25
1216,11,3558,A,06-Mar-25
1263,11,7926,A,28-Jan-25
1269,11,1005,A,03-Jun-25
1300,11,3041,A,07-Aug-25
1302,11,4831,A,07-Jan-25
1304,11,1115,A,30-Sep-25
1307,11,2924,A,23-Nov-25
1310,11,4420,A,30-Nov-25
1317,11,5962,A,07-Jan-25
1346,11,7798,A,18-Aug-25
1400,11,2933,A,27-Oct-25
1402,11,7013,A,16-Jan-26
1419,11,5219,A,12-Jun-25
1453,11,5274,A,03-Oct-25
1454,11,5344,A,17-May-25
1463,11,6587,A,01-Oct-25
1473,11,3883,A,02-Mar-25
1542,11,2770,A,15-Mar-25
1614,11,6585,A,30-Apr-25
1620,11,6521,A,15-Apr-25
1630,11,958,A,06-Jan-26
1640,11,57,A,09-Apr-25
1648,11,990,A,30-Apr-25
1654,11,7413,A,29-Sep-25
1680,11,4982,A,05-Mar-25
1705,11,3096,A,24-Oct-25
1721,11,1868,A,10-Feb-25
1742,11,2624,A,02-Aug-25
1777,11,3608,A,08-Apr-25
1794,11,6527,A,06-Jan-26
1799,11,1102,A,29-Sep-25
1881,11,2442,A,31-Mar-25
1899,11,6745,A,22-Jan-25
1919,11,3992,A,23-Apr-25
1939,11,2870,A,14-Sep-25
1947,11,863,A,31-Dec-25
1951,11,3126,A,13-Dec-25
1961,11,106,A,28-May-25
1968,11,4725,A,04-Oct-25
2018,11,2268,A,03-Jan-25
2022,11,7883,A,15-Nov-25
2059,11,7828,A,13-Mar-25
2066,11,576,A,26-Jun-25
2070,11,6145,A,08-Dec-25
2107,11,2075,A,25-Jul-25
2117,11,1111,A,08-Apr-25
2136,11,2570,A,08-Jun-25
2147,11,5728,A,02-Jun-25
2179,11,2631,A,12-Jan-26
2215,11,6557,A,01-May-25
2223,11,1988,A,17-Oct-25
2229,11,316,A,04-Jan-25
2241,11,4272,A,13-Jul-25
2248,11,6106,A,16-Aug-25
2307,11,1046,A,24-May-25
2325,11,7094,A,17-Aug-25
2349,11,7058,A,08-Sep-25
2384,11,3722,A,13-Jan-26
2388,11,3602,A,20-Sep-25
2415,11,5090,A,26-Jun-25
2426,11,1191,A,25-Apr-25
2442,11,7812,A,21-Jun-25
2479,11,3107,A,06-Feb-25
2520,11,2320,A,17-Sep-25
2594,11,5965,A,20-Dec-25
2671,11,6498,A,27-Dec-25
2672,11,3825,A,30-Jul-25
2684,11,5648,A,14-Jun-25
2701,11,3838,A,17-Jul-25
2777,11,5080,A,16-Jan-26
2869,11,2260,A,06-Jan-26
2877,11,1190,A,16-Mar-25
2904,11,323,A,29-Mar-25
2910,11,6326,A,24-May-25
2916,11,1663,A,24-Nov-25
2969,11,7510,A,03-Aug-25
2991,11,4101,A,30-Oct-25
3046,11,4088,A,11-Oct-25
3063,11,6057,A,18-Jun-25
3098,11,813,A,29-Jun-25
3135,11,6919,A,25-Dec-25
3146,11,2618,A,30-Oct-25
3191,11,2792,A,18-Apr-25
3192,11,7096,A,31-May-25
3217,11,4121,A,13-Nov-25
3263,11,3264,A,13-Jan-25
3290,11,1643,A,13-Aug-25
3322,11,6691,A,08-Dec-25
3328,11,3877,A,06-Feb-25
3354,11,1592,A,03-May-25
3389,11,4446,A,21-Jan-25
3394,11,1720,A,15-Jan-25
3412,11,7236,A,21-Apr-25
3443,11,3731,A,11-Feb-25
3462,11,7955,A,30-Jan-25
3543,11,6626,A,29-Mar-25
3578,11,5435,A,25-Nov-25
3581,11,6424,A,04-Nov-25
3612,11,349,A,10-Oct-25
3622,11,3648,A,15-Dec-25
3637,11,4426,A,28-May-25
3679,11,6547,A,30-Apr-25
3714,11,7248,A,15-Mar-25
3729,11,2350,A,02-Jun-25
