experiment_id,experiment_name,start_date,end_date,status
1,Exp_01_UI_Test,17-Jun-25,01-Jul-25,paused
2,Exp_02_UI_Test,17-Aug-25,10-Sep-25,running
3,Exp_03_UI_Test,17-Aug-25,27-Sep-25,paused
4,Exp_04_UI_Test,16-Sep-25,15-Oct-25,completed
5,Exp_05_UI_Test,25-Apr-25,08-Jun-25,completed
6,Exp_06_UI_Test,17-Sep-25,27-Oct-25,running
7,Exp_07_UI_Test,31-Jan-25,10-Feb-25,completed
8,Exp_08_UI_Test,09-Dec-25,24-Dec-25,completed
9,Exp_09_UI_Test,07-Feb-25,05-Mar-25,completed
10,Exp_10_UI_Test,21-May-25,04-Jun-25,running
11,Exp_11_UI_Test,22-Apr-25,08-May-25,completed
12,Exp_12_UI_Test,04-Jan-26,26-Jan-26,running
