payment_id,subscription_id,user_id,payment_date,amount_inr,payment_method,payment_status
51,3502,110,01-04-2025,0,Card,success
88,5702,4270,18-08-2025,0,Card,success
89,8158,526,23-05-2025,0,Card,success
90,2763,3449,23-05-2025,0,Card,success
99,5402,1280,27-08-2025,0,Card,success
126,5835,3007,04-06-2025,0,Card,success
134,9531,2998,11-07-2025,0,Card,success
143,9336,6611,19-08-2025,0,Card,success
198,9975,6888,18-07-2025,0,Card,success
204,7248,3244,29-01-2025,0,Card,success
232,5203,3815,11-03-2025,0,Card,success
235,1408,7326,12-04-2025,0,Card,success
318,9928,6771,05-01-2026,0,Card,success
406,8432,7464,06-07-2025,0,Card,success
418,1864,1349,25-12-2025,0,Card,success
424,10708,5282,12-01-2026,0,Card,success
437,3414,2545,28-10-2025,0,Card,success
464,2788,3730,17-09-2025,0,Card,success
643,5913,7314,02-04-2025,0,Card,success
649,3264,5036,14-09-2025,0,Card,success
679,7765,6782,31-03-2025,0,Card,success
685,9945,7658,19-01-2025,0,Card,success
699,5512,895,02-04-2025,0,Card,success
705,6793,2757,15-05-2025,0,Card,success
734,3584,5899,10-01-2026,0,Card,success
739,5716,3598,11-12-2025,0,Card,success
756,2470,4995,10-06-2025,0,Card,success
761,7523,7832,26-07-2025,0,Card,success
772,245,899,20-11-2025,0,Card,success
792,8390,6628,13-07-2025,0,Card,success
819,10010,1781,08-01-2026,0,Card,success
848,3495,6260,18-04-2025,0,Card,success
907,6677,15,02-06-2025,0,Card,success
950,1946,908,12-01-2025,0,Card,success
1020,7673,7525,20-02-2025,0,Card,success
1068,8175,5655,20-11-2025,0,Card,success
1087,5642,2457,11-12-2025,0,Card,success
1165,1495,2378,24-06-2025,0,Card,success
1174,9913,5879,22-12-2025,0,Card,success
1226,603,3959,23-06-2025,0,Card,success
1325,38,6450,15-07-2025,0,Card,success
1333,6231,443,07-11-2025,0,Card,success
1340,2221,2647,01-10-2025,0,Card,success
1350,221,2704,16-06-2025,0,Card,success
1381,1926,7030,10-10-2025,0,Card,success
1383,688,136,25-06-2025,0,Card,success
1445,6725,3795,18-07-2025,0,Card,success
1476,8930,1070,17-03-2025,0,Card,success
1478,5250,4400,09-09-2025,0,Card,success
1534,5040,7300,22-04-2025,0,Card,success
1575,4582,7781,11-12-2025,0,Card,success
1630,714,5587,28-11-2025,0,Card,success
1632,3435,146,27-09-2025,0,Card,success
1638,7577,585,31-03-2025,0,Card,success
1706,8221,2830,14-01-2025,0,Card,success
1710,7457,4363,05-12-2025,0,Card,success
1762,5723,115,01-10-2025,0,Card,success
1781,5942,2784,29-04-2025,0,Card,success
1789,1667,801,19-12-2025,0,Card,success
1794,11890,2429,18-02-2025,0,Card,success
1825,9685,4180,15-02-2025,0,Card,success
1830,5761,5788,18-12-2025,0,Card,success
1855,5883,2920,29-09-2025,0,Card,success
1892,6486,1826,23-10-2025,0,Card,success
1944,5997,918,12-05-2025,0,Card,success
1956,8959,4076,11-06-2025,0,Card,success
1971,11079,1066,13-04-2025,0,Card,success
1977,9272,1219,01-05-2025,0,Card,success
2171,5925,2542,09-11-2025,0,Card,success
2196,3580,1082,10-06-2025,0,Card,success
2210,2843,5367,29-08-2025,0,Card,success
2287,7316,5429,31-05-2025,0,Card,success
2326,915,3393,11-05-2025,0,Card,success
2355,995,6075,04-09-2025,0,Card,success
2379,10838,6007,03-01-2025,0,Card,success
2408,10591,7987,21-03-2025,0,Card,success
2444,1296,5815,03-03-2025,0,Card,success
2445,161,4575,24-07-2025,0,Card,success
2462,8581,523,27-01-2025,0,Card,success
2470,1153,4715,15-06-2025,0,Card,success
2515,6785,2128,02-01-2026,0,Card,success
2606,306,4672,24-10-2025,0,Card,success
2617,3584,5899,19-10-2025,0,Card,success
2650,703,1576,10-02-2025,0,Card,success
2715,7457,4363,18-12-2025,0,Card,success
2792,3431,3974,11-01-2025,0,Card,success
2856,2632,166,11-10-2025,0,Card,success
2883,2766,7298,15-09-2025,0,Card,success
2904,6579,826,27-07-2025,0,Card,success
2921,2934,1134,10-06-2025,0,Card,success
2982,10761,3194,17-12-2025,0,Card,success
3060,8007,328,03-06-2025,0,Card,success
3084,8516,4757,01-12-2025,0,Card,success
3113,6502,4793,01-07-2025,0,Card,success
3195,11302,3973,26-07-2025,0,Card,success
3220,4667,7806,14-11-2025,0,Card,success
3279,3499,7784,21-01-2025,0,Card,success
3287,8517,6457,10-08-2025,0,Card,success
3336,8115,4646,16-05-2025,0,Card,success
3349,4347,7787,30-08-2025,0,Card,success
3353,10005,3137,08-05-2025,0,Card,success
3362,4748,5044,21-04-2025,0,Card,success
3409,2639,937,04-07-2025,0,Card,success
3450,9709,5842,08-08-2025,0,Card,success
3455,10082,2854,19-02-2025,0,Card,success
3485,557,1726,17-04-2025,0,Card,success
3523,9830,1905,19-12-2025,0,Card,success
3543,4730,1036,07-05-2025,0,Card,success
3551,6789,3172,29-06-2025,0,Card,success
3659,9872,544,20-12-2025,0,Card,success
3688,6360,4250,04-11-2025,0,Card,success
3784,5864,7542,09-06-2025,0,Card,success
3845,9696,672,05-11-2025,0,Card,success
3864,10218,3054,13-02-2025,0,Card,success
3897,7365,143,10-03-2025,0,Card,success
3914,6229,4088,06-01-2026,0,Card,success
4049,11791,1990,22-09-2025,0,Card,success
4060,8432,7464,05-03-2025,0,Card,success
4089,5250,4400,03-08-2025,0,Card,success
4143,1674,866,09-08-2025,0,Card,success
4177,11524,755,04-03-2025,0,Card,success
4219,5406,1964,06-07-2025,0,Card,success
4234,9850,1183,06-12-2025,0,Card,success
4270,4674,2659,18-11-2025,0,Card,success
4278,9631,4108,25-07-2025,0,Card,success
4283,9418,1067,29-12-2025,0,Card,success
4305,5193,1283,10-11-2025,0,Card,success
4311,5964,950,25-10-2025,0,Card,success
4360,4916,4363,03-05-2025,0,Card,success
4392,1728,278,01-09-2025,0,Card,success
4408,556,3233,08-07-2025,0,Card,success
4416,579,1983,09-08-2025,0,Card,success
4424,5010,6435,02-10-2025,0,Card,success
4429,8021,2779,28-06-2025,0,Card,success
4583,6109,3215,09-12-2025,0,Card,success
4588,4405,6629,01-09-2025,0,Card,success
4623,6109,3215,16-08-2025,0,Card,success
4635,7204,5240,16-01-2025,0,Card,success
4646,10915,2162,10-12-2025,0,Card,success
4755,8724,7351,23-10-2025,0,Card,success
4765,7704,2484,29-09-2025,0,Card,success
4826,4336,6968,11-03-2025,0,Card,success
4855,5569,6758,04-01-2026,0,Card,success
4914,4347,7787,15-02-2025,0,Card,success
4980,688,136,19-03-2025,0,Card,success
4993,2692,1072,24-09-2025,0,Card,success
5088,1993,4373,11-07-2025,0,Card,success
5121,9919,4615,26-01-2025,0,Card,success
5143,2079,6648,14-11-2025,0,Card,success
5161,8935,7037,14-12-2025,0,Card,success
5231,5618,3425,13-05-2025,0,Card,success
5269,2452,4184,03-09-2025,0,Card,success
5274,1809,5124,30-04-2025,0,Card,success
5275,1042,3163,08-02-2025,0,Card,success
5302,10964,6507,29-04-2025,0,Card,success
5411,1157,4361,05-05-2025,0,Card,success
5426,5130,2073,20-07-2025,0,Card,success
5469,4659,1063,17-07-2025,0,Card,success
5472,7261,5373,23-12-2025,0,Card,success
5484,3808,5080,05-02-2025,0,Card,success
5495,5311,113,28-07-2025,0,Card,success
5533,4701,7681,22-07-2025,0,Card,success
5616,2717,6586,07-11-2025,0,Card,success
5628,5699,667,06-04-2025,0,Card,success
5657,2743,4645,22-04-2025,0,Card,success
5683,5148,97,18-10-2025,0,Card,success
5719,7683,935,14-08-2025,0,Card,success
5727,7464,3449,22-10-2025,0,Card,success
5744,11923,6842,22-09-2025,0,Card,success
5833,552,7953,16-09-2025,0,Card,success
5864,1416,5694,26-07-2025,0,Card,success
5965,1312,3918,01-10-2025,0,Card,success
5979,2321,4708,15-01-2025,0,Card,success
5983,8914,3318,22-12-2025,0,Card,success
5989,5474,3565,05-12-2025,0,Card,success
6000,8061,7875,03-01-2025,0,Card,success
6010,6250,6223,20-06-2025,0,Card,success
6062,5303,2477,10-05-2025,0,Card,success
6077,6442,4945,24-08-2025,0,Card,success
6120,1294,5564,07-05-2025,0,Card,success
6132,4776,519,28-03-2025,0,Card,success
6135,11834,3776,07-02-2025,0,Card,success
6158,424,1918,31-08-2025,0,Card,success
6192,5702,4270,09-06-2025,0,Card,success
6229,1605,1231,11-08-2025,0,Card,success
6307,6758,3731,12-03-2025,0,Card,success
6392,10230,5383,18-02-2025,0,Card,success
6395,3063,4114,18-07-2025,0,Card,success
6397,3860,892,12-07-2025,0,Card,success
6425,9003,548,17-08-2025,0,Card,success
6430,11731,3922,22-08-2025,0,Card,success
6482,9046,7481,05-02-2025,0,Card,success
6565,5902,3666,31-05-2025,0,Card,success
6573,10233,809,04-12-2025,0,Card,success
6616,1805,6877,21-12-2025,0,Card,success
6739,2484,321,16-07-2025,0,Card,success
