refund_id,payment_id,user_id,refund_date,refund_amount_inr,refund_reason
21,5117,896,01-Jun-25,0,Other
25,4864,2687,19-Jun-25,0,Accidental purchase
29,7357,4592,14-Mar-25,0,App issues
30,176,2327,09-Feb-25,0,Accidental purchase
32,9658,3598,27-Jan-25,0,Other
36,11916,3204,26-Dec-25,0,Accidental purchase
44,895,4616,16-Jul-25,0,Other
69,8871,5008,03-Aug-25,0,Other
72,6998,5067,21-Aug-25,0,App issues
83,6229,1231,24-Mar-25,0,Charged twice
84,8069,7989,23-Mar-25,0,App issues
95,8843,4701,23-Apr-25,0,Accidental purchase
98,5319,763,08-Jun-25,0,Other
102,10519,3303,04-Jul-25,0,Charged twice
108,232,3815,13-Mar-25,0,Not satisfied
109,2620,6157,01-Jan-25,0,Other
153,4305,1283,16-Oct-25,0,Accidental purchase
154,1653,136,19-Aug-25,0,Other
161,4309,3631,09-Mar-25,0,Charged twice
165,8064,1909,02-Jun-25,0,Not satisfied
175,6533,1896,10-May-25,0,Other
180,2623,3299,26-Apr-25,0,Other
205,10324,7675,10-Jan-25,0,Other
218,7502,5049,16-Aug-25,0,App issues
220,6000,7875,11-Jan-25,0,Not satisfied
230,10105,3792,13-Jun-25,0,App issues
232,3356,2185,21-Jun-25,0,App issues
234,1295,4019,25-Nov-25,0,App issues
235,3074,4308,15-Dec-25,0,Charged twice
252,9727,316,09-May-25,0,Accidental purchase
253,2086,507,23-Jul-25,0,Other
262,8323,2701,04-Jul-25,0,App issues
288,1102,47,11-Nov-25,0,App issues
291,756,4995,01-Jun-25,0,Not satisfied
303,4408,3233,08-Mar-25,0,Accidental purchase
312,8372,411,10-Aug-25,0,Other
317,2100,6465,11-Aug-25,0,Charged twice
319,6796,6377,01-Jun-25,0,Other
323,5302,6507,26-May-25,0,Other
324,6572,6241,18-Jan-26,0,App issues
327,7638,5029,28-May-25,0,Charged twice
332,3469,2897,27-Sep-25,0,App issues
334,9182,3415,17-Jan-25,0,Accidental purchase
337,11887,1241,14-Nov-25,0,Accidental purchase
349,3287,6457,22-May-25,0,Other
356,9875,3595,28-Feb-25,0,Accidental purchase
360,8903,7223,09-Nov-25,0,Charged twice
361,6045,7298,07-Dec-25,0,Other
369,5820,6719,20-Nov-25,0,Charged twice
385,1728,2898,17-Apr-25,0,Accidental purchase
387,8066,4968,23-Oct-25,0,Not satisfied
389,3848,947,21-Feb-25,0,Accidental purchase
395,4355,7223,25-Jan-25,0,Other
400,599,1441,11-Nov-25,0,Charged twice
408,1333,443,14-Feb-25,0,Charged twice
422,104,3839,05-Apr-25,0,Accidental purchase
428,3163,3757,06-Apr-25,0,Charged twice
433,3507,2483,10-Nov-25,0,App issues
435,2803,6882,03-Jan-25,0,Accidental purchase
439,3799,1435,19-Dec-25,0,Other
440,7730,5714,30-Sep-25,0,Accidental purchase
469,162,328,28-Nov-25,0,Not satisfied
470,3906,5515,20-Dec-25,0,Not satisfied
477,5496,3097,10-Jan-26,0,App issues
480,7034,3169,01-Jan-25,0,Charged twice
484,6762,5934,06-Dec-25,0,Not satisfied
499,2147,7185,24-Nov-25,0,Charged twice
509,2082,7694,19-Jan-25,0,Not satisfied
513,5577,7881,26-Apr-25,0,Accidental purchase
516,3551,3172,07-Apr-25,0,Accidental purchase
524,11547,3833,17-Oct-25,0,Charged twice
529,204,3244,06-Oct-25,0,App issues
535,10246,3393,04-Mar-25,0,Other
560,3741,6634,17-Dec-25,0,App issues
567,5616,6586,05-Aug-25,0,App issues
570,10139,2318,09-Feb-25,0,Accidental purchase
577,1747,5377,23-Sep-25,0,App issues
583,2374,2070,03-Jan-25,0,App issues
590,7397,6964,17-Mar-25,0,Other
596,8884,3243,02-Mar-25,0,Charged twice
600,8635,1450,21-Apr-25,0,App issues
609,3592,6539,06-Jan-26,0,Other
614,11690,3052,19-Nov-25,0,Not satisfied
640,6077,4945,30-Sep-25,0,App issues
642,9773,7820,31-Mar-25,0,Charged twice
643,3884,2488,01-May-25,0,Accidental purchase
654,7475,7942,30-Jun-25,0,Other
657,11264,2532,21-Aug-25,0,Not satisfied
674,6481,4250,25-May-25,0,Accidental purchase
684,1135,3415,13-Jun-25,0,Other
690,5243,82,18-Feb-25,0,Charged twice
702,6425,548,10-Dec-25,0,Other
709,5155,7720,10-Feb-25,0,Other
723,2146,3795,24-Jun-25,0,Charged twice
727,11392,2672,22-Dec-25,0,Accidental purchase
728,9347,7198,20-Nov-25,0,Not satisfied
730,88,4270,24-Dec-25,0,Other
736,6222,2153,08-Jan-25,0,Accidental purchase
740,10931,1636,26-Jan-25,0,Not satisfied
744,1831,5040,04-Dec-25,0,App issues
745,5739,1068,15-Dec-25,0,Charged twice
753,6995,3867,01-Feb-25,0,Other
773,4070,3589,10-Jan-25,0,Other
776,1855,2920,13-Aug-25,0,Other
794,4980,136,20-Jun-25,0,Charged twice
807,6686,7802,02-Mar-25,0,Other
810,11002,2430,05-Mar-25,0,Other
817,2686,3154,28-Jan-25,0,Not satisfied
819,4567,2508,22-May-25,0,App issues
