subscription_id,user_id,plan_id,start_date,end_date,status,cancel_reason
10,7079,1,31-05-2025,,active,NULL
16,7040,1,21-08-2025,,active,NULL
18,5355,1,20-10-2025,,active,NULL
22,6413,1,11-01-2025,,active,NULL
36,1687,1,22-12-2025,,active,NULL
38,6450,1,09-10-2025,,active,NULL
39,7227,1,10-05-2025,,active,NULL
49,770,1,17-07-2025,,active,NULL
51,471,1,05-09-2025,,active,NULL
54,5124,1,25-02-2025,,active,NULL
55,6731,1,04-01-2026,,active,NULL
65,4785,1,10-01-2026,,active,NULL
67,6095,1,08-04-2025,,active,NULL
68,4629,1,08-10-2025,,active,NULL
70,5890,1,27-12-2025,,active,NULL
72,505,1,17-11-2025,,active,NULL
76,2543,1,05-06-2025,,active,NULL
84,601,1,07-04-2025,,active,NULL
85,3480,1,23-11-2025,,active,NULL
86,3631,1,22-04-2025,,active,NULL
95,1115,1,25-05-2025,,active,NULL
102,6907,1,11-04-2025,,active,NULL
103,6478,1,05-08-2025,,active,NULL
104,5601,1,23-10-2025,,active,NULL
111,4274,1,03-05-2025,,active,NULL
132,3938,1,01-06-2025,,active,NULL
144,7223,1,30-09-2025,,active,NULL
148,5820,1,18-08-2025,,active,NULL
150,5301,1,28-07-2025,,active,NULL
155,4619,1,15-01-2025,,active,NULL
157,7520,1,09-09-2025,,active,NULL
160,2171,1,24-06-2025,,active,NULL
161,4575,1,01-01-2026,,active,NULL
167,5426,1,27-02-2025,,active,NULL
168,2801,1,17-06-2025,,active,NULL
170,5458,1,07-07-2025,,active,NULL
180,6343,1,18-12-2025,,active,NULL
192,1782,1,08-06-2025,,active,NULL
195,1425,1,26-04-2025,,active,NULL
200,1107,1,02-11-2025,,active,NULL
206,813,1,27-09-2025,,active,NULL
212,7308,1,09-07-2025,,active,NULL
213,2883,1,18-06-2025,,active,NULL
221,2704,1,30-08-2025,,active,NULL
225,2511,1,29-08-2025,,active,NULL
228,7034,1,07-03-2025,,active,NULL
230,1876,1,31-05-2025,,active,NULL
239,6325,1,22-11-2025,,active,NULL
240,3071,1,30-03-2025,,active,NULL
245,899,1,05-11-2025,,active,NULL
250,1832,1,04-02-2025,,active,NULL
252,2482,1,13-11-2025,,active,NULL
253,4426,1,16-06-2025,,active,NULL
254,2575,1,09-03-2025,,active,NULL
258,4412,1,24-09-2025,,active,NULL
261,4841,1,26-12-2025,,active,NULL
266,7887,1,02-07-2025,,active,NULL
268,4378,1,14-05-2025,,active,NULL
270,7223,1,04-12-2025,,active,NULL
275,1094,1,07-03-2025,,active,NULL
277,3972,1,08-12-2025,,active,NULL
290,4094,1,05-10-2025,,active,NULL
291,2596,1,04-06-2025,,active,NULL
297,5067,1,17-06-2025,,active,NULL
303,4652,1,01-02-2025,,active,NULL
304,1124,1,21-11-2025,,active,NULL
306,4672,1,13-07-2025,,active,NULL
316,5360,1,12-03-2025,,active,NULL
317,781,1,20-08-2025,,active,NULL
321,7819,1,08-09-2025,,active,NULL
322,4501,1,31-12-2025,,active,NULL
326,7518,1,05-11-2025,,active,NULL
329,3121,1,19-08-2025,,active,NULL
338,1463,1,23-10-2025,,active,NULL
341,5803,1,24-03-2025,,active,NULL
344,7052,1,23-01-2025,,active,NULL
350,4296,1,26-10-2025,,active,NULL
351,5105,1,08-10-2025,,active,NULL
353,3743,1,17-08-2025,,active,NULL
355,5320,1,23-11-2025,,active,NULL
363,5700,1,09-07-2025,,active,NULL
375,2660,1,21-01-2025,,active,NULL
384,6598,1,10-05-2025,,active,NULL
397,6332,1,02-05-2025,,active,NULL
403,4813,1,16-12-2025,,active,NULL
406,6435,1,09-05-2025,,active,NULL
418,806,1,15-07-2025,,active,NULL
421,4208,1,11-09-2025,,active,NULL
424,1918,1,03-08-2025,,active,NULL
425,2625,1,17-10-2025,,active,NULL
426,6500,1,09-01-2026,,active,NULL
433,1974,1,25-08-2025,,active,NULL
438,1316,1,19-05-2025,,active,NULL
440,7722,1,28-03-2025,,active,NULL
447,2868,1,21-03-2025,,active,NULL
449,1490,1,10-05-2025,,active,NULL
453,7308,1,16-12-2025,,active,NULL
454,3390,1,25-05-2025,,active,NULL
462,3204,1,06-01-2026,,active,NULL
464,5016,1,15-06-2025,,active,NULL
469,5074,1,11-04-2025,,active,NULL
472,3576,1,16-07-2025,,active,NULL
474,2807,1,04-01-2025,,active,NULL
475,6804,1,17-04-2025,,active,NULL
482,932,1,22-09-2025,,active,NULL
483,48,1,03-10-2025,,active,NULL
485,5768,1,07-11-2025,,active,NULL
495,3946,1,19-11-2025,,active,NULL
497,1591,1,04-04-2025,,active,NULL
510,2121,1,31-12-2025,,active,NULL
511,1462,1,22-06-2025,,active,NULL
518,1943,1,15-06-2025,,active,NULL
519,3743,1,08-12-2025,,active,NULL
521,2828,1,06-04-2025,,active,NULL
531,2898,1,16-01-2026,,active,NULL
532,260,1,21-04-2025,,active,NULL
537,3935,1,18-10-2025,,active,NULL
538,4994,1,25-11-2025,,active,NULL
548,4846,1,31-01-2025,,active,NULL
555,4228,1,13-08-2025,,active,NULL
556,3233,1,13-01-2025,,active,NULL
557,1726,1,11-04-2025,,active,NULL
558,1617,1,05-12-2025,,active,NULL
560,7880,1,16-02-2025,,active,NULL
562,1963,1,26-08-2025,,active,NULL
563,2132,1,17-09-2025,,active,NULL
566,5286,1,23-02-2025,,active,NULL
569,5162,1,28-06-2025,,active,NULL
571,5942,1,04-03-2025,,active,NULL
577,5640,1,18-07-2025,,active,NULL
579,1983,1,16-10-2025,,active,NULL
582,1976,1,12-07-2025,,active,NULL
586,6646,1,04-07-2025,,active,NULL
591,1088,1,03-07-2025,,active,NULL
594,2548,1,07-08-2025,,active,NULL
603,3959,1,29-04-2025,,active,NULL
607,4464,1,04-06-2025,,active,NULL
609,221,1,10-12-2025,,active,NULL
611,3013,1,03-02-2025,,active,NULL
612,7545,1,13-04-2025,,active,NULL
616,1271,1,19-02-2025,,active,NULL
625,5351,1,02-07-2025,,active,NULL
629,1500,1,23-12-2025,,active,NULL
631,501,1,22-10-2025,,active,NULL
640,4288,1,23-06-2025,,active,NULL
643,2241,1,25-02-2025,,active,NULL
644,589,1,24-10-2025,,active,NULL
651,826,1,09-04-2025,,active,NULL
655,1154,1,16-08-2025,,active,NULL
661,2396,1,02-04-2025,,active,NULL
670,3136,1,25-06-2025,,active,NULL
673,6795,1,30-12-2025,,active,NULL
677,6404,1,07-07-2025,,active,NULL
685,6683,1,21-01-2025,,active,NULL
688,136,1,03-12-2025,,active,NULL
691,538,1,25-02-2025,,active,NULL
694,2208,1,28-10-2025,,active,NULL
697,5497,1,06-02-2025,,active,NULL
699,6834,1,23-04-2025,,active,NULL
701,1241,1,03-07-2025,,active,NULL
703,1576,1,21-06-2025,,active,NULL
709,4410,1,25-03-2025,,active,NULL
714,5587,1,17-04-2025,,active,NULL
720,947,1,15-06-2025,,active,NULL
722,4045,1,13-07-2025,,active,NULL
731,5624,1,28-08-2025,,active,NULL
736,234,1,22-03-2025,,active,NULL
737,4528,1,13-03-2025,,active,NULL
756,7084,1,21-05-2025,,active,NULL
759,3243,1,19-09-2025,,active,NULL
765,6988,1,13-01-2026,,active,NULL
770,4308,1,10-07-2025,,active,NULL
778,4062,1,10-07-2025,,active,NULL
780,6590,1,18-06-2025,,active,NULL
785,597,1,22-12-2025,,active,NULL
792,4362,1,04-04-2025,,active,NULL
798,7782,1,02-03-2025,,active,NULL
799,4777,1,19-01-2025,,active,NULL
801,7753,1,28-05-2025,,active,NULL
803,5007,1,12-10-2025,,active,NULL
815,7864,1,16-08-2025,,active,NULL
817,1933,1,12-07-2025,,active,NULL
821,7998,1,11-04-2025,,active,NULL
825,5255,1,02-10-2025,,active,NULL
829,4926,1,04-01-2026,,active,NULL
831,5188,1,12-08-2025,,active,NULL
832,5582,1,11-11-2025,,active,NULL
834,6598,1,25-09-2025,,active,NULL
851,6544,1,22-07-2025,,active,NULL
853,4534,1,13-10-2025,,active,NULL
862,3679,1,10-11-2025,,active,NULL
864,2533,1,19-04-2025,,active,NULL
867,4762,1,24-11-2025,,active,NULL
872,106,1,26-06-2025,,active,NULL
875,1707,1,29-06-2025,,active,NULL
881,6924,1,07-09-2025,,active,NULL
887,6105,1,25-03-2025,,active,NULL
889,1752,1,20-06-2025,,active,NULL
891,449,1,26-10-2025,,active,NULL
892,2680,1,16-05-2025,,active,NULL
