user_id,signup_date,country,city,gender,age_group,Sort_Age_Group,acquisition_channel,device_type,is_active
208,22-Oct-25,India,Delhi,Male,25-34,2,Direct,iOS,False
356,15-Dec-25,India,Delhi,Male,25-34,2,Referral,Web,True
781,13-May-25,India,Delhi,Male,25-34,2,Social,Android,True
824,07-Mar-25,India,Delhi,Male,25-34,2,Email,Android,True
967,26-May-25,India,Delhi,Male,25-34,2,Direct,Android,True
1011,18-Nov-25,India,Delhi,Male,25-34,2,Social,iOS,False
1016,14-May-25,India,Delhi,Male,25-34,2,App Store,Android,False
1148,08-Jun-25,India,Delhi,Male,25-34,2,Direct,iOS,True
1200,16-Apr-25,India,Delhi,Male,25-34,2,Email,Web,True
1215,01-Jul-25,India,Delhi,Male,25-34,2,Direct,iOS,True
1234,21-Oct-25,India,Delhi,Male,25-34,2,Social,Android,True
1280,13-Oct-25,India,Delhi,Male,25-34,2,Social,Android,True
1359,13-Sep-25,India,Delhi,Male,25-34,2,App Store,Web,True
1439,29-May-25,India,Delhi,Male,25-34,2,App Store,Web,True
1532,03-Aug-25,India,Delhi,Male,25-34,2,App Store,Android,True
1534,11-Aug-25,India,Delhi,Male,25-34,2,Influencer,Android,True
1930,01-Nov-25,India,Delhi,Male,25-34,2,Organic Search,iOS,True
1982,27-Oct-25,India,Delhi,Male,25-34,2,Direct,iOS,True
2080,27-Dec-25,India,Delhi,Male,25-34,2,Referral,Android,True
2234,31-Oct-25,India,Delhi,Male,25-34,2,Email,Android,True
2382,05-Feb-25,India,Delhi,Male,25-34,2,Direct,iOS,True
2400,29-May-25,India,Delhi,Male,25-34,2,Direct,iOS,True
2423,30-May-25,India,Delhi,Male,25-34,2,Paid Search,Android,True
2431,16-Apr-25,India,Delhi,Male,25-34,2,Paid Search,iOS,True
2783,20-Jun-25,India,Delhi,Male,25-34,2,Influencer,Android,True
3090,27-Feb-25,India,Delhi,Male,25-34,2,App Store,Android,True
3127,31-Dec-25,India,Delhi,Male,25-34,2,App Store,Web,False
3339,06-Mar-25,India,Delhi,Male,25-34,2,Referral,iOS,True
3458,26-Jun-25,India,Delhi,Male,25-34,2,Influencer,iOS,True
3588,05-May-25,India,Delhi,Male,25-34,2,Influencer,Android,False
3607,09-Mar-25,India,Delhi,Male,25-34,2,Influencer,iOS,True
3668,03-Jul-25,India,Delhi,Male,25-34,2,App Store,iOS,True
3712,27-May-25,India,Delhi,Male,25-34,2,Paid Search,iOS,False
3742,12-Jun-25,India,Delhi,Male,25-34,2,Direct,iOS,True
4115,11-Aug-25,India,Delhi,Male,25-34,2,Referral,Android,True
4152,03-Jun-25,India,Delhi,Male,25-34,2,Influencer,iOS,True
4278,26-Apr-25,India,Delhi,Male,25-34,2,Email,iOS,True
4356,29-Sep-25,India,Delhi,Male,25-34,2,App Store,Web,False
4438,17-Jun-25,India,Delhi,Male,25-34,2,App Store,Android,True
4833,13-Nov-25,India,Delhi,Male,25-34,2,Social,iOS,True
4835,08-May-25,India,Delhi,Male,25-34,2,Organic Search,iOS,True
4845,10-Nov-25,India,Delhi,Male,25-34,2,Influencer,iOS,True
4883,30-Jan-25,India,Delhi,Male,25-34,2,Paid Search,Web,True
5127,01-Jul-25,India,Delhi,Male,25-34,2,Referral,iOS,False
5164,31-Mar-25,India,Delhi,Male,25-34,2,Social,Web,True
5200,22-Aug-25,India,Delhi,Male,25-34,2,Social,iOS,True
5272,29-Oct-25,India,Delhi,Male,25-34,2,Paid Search,iOS,True
5401,26-Sep-25,India,Delhi,Male,25-34,2,Direct,iOS,True
5425,26-Apr-25,India,Delhi,Male,25-34,2,Social,Web,True
5446,28-Sep-25,India,Delhi,Male,25-34,2,Influencer,Web,True
5458,06-Jan-26,India,Delhi,Male,25-34,2,Paid Search,Android,True
5459,19-May-25,India,Delhi,Male,25-34,2,App Store,iOS,False
5572,06-Dec-25,India,Delhi,Male,25-34,2,Social,iOS,True
5614,06-Feb-25,India,Delhi,Male,25-34,2,Referral,Web,True
5723,15-Oct-25,India,Delhi,Male,25-34,2,App Store,Web,True
5759,18-Aug-25,India,Delhi,Male,25-34,2,Direct,iOS,True
5901,11-Oct-25,India,Delhi,Male,25-34,2,Paid Search,Android,True
5983,18-Nov-25,India,Delhi,Male,25-34,2,Influencer,Android,True
